path, bbox_x1, bbox_x2, bbox_y1, bbox_y2, lab, class_name
00001.jpg,39,116,569,375,13,Audi TTS Coupe 2012
00002.jpg,36,116,868,587,2,Acura TL Sedan 2012
00003.jpg,85,109,601,381,90,Dodge Dakota Club Cab 2007
00004.jpg,621,393,1484,1096,133,Hyundai Sonata Hybrid Sedan 2012
00005.jpg,14,36,133,99,105,Ford F-450 Super Duty Crew Cab 2012
00006.jpg,259,289,515,416,122,Geo Metro Convertible 1993
00007.jpg,88,80,541,397,88,Dodge Journey SUV 2012
00008.jpg,73,79,591,410,95,Dodge Charger Sedan 2012
00009.jpg,20,126,1269,771,166,Mitsubishi Lancer Sedan 2012
00010.jpg,21,110,623,367,57,Chevrolet Traverse SUV 2012
00011.jpg,51,93,601,393,48,Buick Verano Sedan 2012
00012.jpg,6,62,499,286,185,Toyota Sequoia SUV 2012
00013.jpg,30,36,418,307,134,Hyundai Elantra Sedan 2007
00014.jpg,31,246,778,540,84,Dodge Caravan Minivan 1997
00015.jpg,32,77,589,379,192,Volvo C30 Hatchback 2012
00016.jpg,27,49,611,396,171,Plymouth Neon Coupe 1999
00017.jpg,39,52,233,150,13,Audi TTS Coupe 2012
00018.jpg,3,8,190,147,72,Chevrolet Malibu Sedan 2007
00019.jpg,247,287,1366,761,191,Volkswagen Beetle Hatchback 2012
00020.jpg,17,281,961,596,56,Chevrolet Corvette Ron Fellows Edition Z06 2007
00021.jpg,17,156,695,375,78,Chrysler 300 SRT-8 2010
00022.jpg,212,538,1893,1131,35,BMW M6 Convertible 2010
00023.jpg,11,28,476,234,119,GMC Yukon Hybrid SUV 2012
00024.jpg,53,126,973,621,169,Nissan Juke Hatchback 2012
00025.jpg,34,87,567,343,193,Volvo 240 Sedan 1993
00026.jpg,30,174,598,379,133,Hyundai Sonata Hybrid Sedan 2012
00027.jpg,80,107,606,336,183,Suzuki SX4 Sedan 2012
00028.jpg,45,115,585,382,85,Dodge Ram Pickup 3500 Crew Cab 2010
00029.jpg,28,139,1564,1126,179,Spyker C8 Coupe 2009
00030.jpg,82,109,874,521,193,Volvo 240 Sedan 1993
00031.jpg,55,318,446,564,153,Land Rover Range Rover SUV 2012
00032.jpg,12,31,471,350,138,Hyundai Elantra Touring Hatchback 2012
00033.jpg,34,197,1011,656,65,Chevrolet Cobalt SS 2010
00034.jpg,37,63,614,397,132,Hyundai Veracruz SUV 2012
00035.jpg,223,87,1111,670,153,Land Rover Range Rover SUV 2012
00036.jpg,138,41,521,223,103,Ferrari 458 Italia Coupe 2012
00037.jpg,31,87,616,344,37,BMW Z4 Convertible 2012
00038.jpg,16,89,459,326,96,Dodge Charger SRT-8 2009
00039.jpg,53,113,614,350,104,Fisker Karma Sedan 2012
00040.jpg,214,110,660,403,141,Infiniti QX56 SUV 2011
00041.jpg,61,55,566,408,12,Audi A5 Coupe 2012
00042.jpg,28,61,622,371,190,Volkswagen Golf Hatchback 1991
00043.jpg,22,39,588,362,118,GMC Savana Van 2012
00044.jpg,220,193,537,364,37,BMW Z4 Convertible 2012
00045.jpg,12,108,489,297,185,Toyota Sequoia SUV 2012
00046.jpg,28,80,759,466,24,Audi TT RS Coupe 2012
00047.jpg,84,248,1102,899,193,Volvo 240 Sedan 1993
00048.jpg,142,69,753,451,176,Rolls-Royce Phantom Sedan 2012
00049.jpg,166,543,887,903,172,Porsche Panamera Sedan 2012
00050.jpg,20,96,564,341,41,Bentley Continental GT Coupe 2012
00051.jpg,41,181,607,465,90,Dodge Dakota Club Cab 2007
00052.jpg,39,29,774,395,147,Jeep Grand Cherokee SUV 2012
00053.jpg,161,191,425,307,14,Audi R8 Coupe 2012
00054.jpg,58,562,1528,1081,96,Dodge Charger SRT-8 2009
00055.jpg,80,120,582,391,41,Bentley Continental GT Coupe 2012
00056.jpg,32,48,472,267,52,Cadillac Escalade EXT Crew Cab 2007
00057.jpg,260,138,972,439,43,Bentley Continental Flying Spur Sedan 2007
00058.jpg,11,35,256,173,64,Chevrolet Avalanche Crew Cab 2012
